image_a,image_b,label,session_a,session_b,inliers,inlier_ratio,mean_parallax
../data/KakaoTalk_Photo_2025-08-04-22-04-23 025.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-03 029.jpeg,strong_negative,5,21,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-19 012.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,strong_negative,13,15,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-21 018.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-56 003.jpeg,strong_negative,12,17,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-59 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-56 002.jpeg,strong_negative,8,22,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-03-02 024.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-01 019.jpeg,strong_negative,26,3,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-24 027.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-03 028.jpeg,strong_negative,8,24,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-57 009.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-56 004.jpeg,strong_negative,15,20,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-24 027.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-22 023.jpeg,strong_negative,8,27,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-22 021.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 024.jpeg,strong_negative,11,26,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-59 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-23 025.jpeg,strong_negative,8,5,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-03-02 022.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 026.jpeg,strong_negative,0,7,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-23 025.jpeg,strong_negative,15,5,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-22 022.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-56 004.jpeg,strong_negative,10,20,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-56 003.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-59 015.jpeg,strong_negative,17,7,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-23 025.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 030.jpeg,strong_negative,5,1,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-18 008.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-18 004.jpeg,strong_negative,2,21,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-59 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-18 007.jpeg,strong_negative,8,6,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-24 029.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-03 029.jpeg,strong_negative,9,21,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-18 008.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-03 029.jpeg,strong_negative,2,21,0,0.0,inf
